0.085,0.915
0.995,0.005
0.,1.
0.03064664,0.96935336
1.,0.
0.48,0.52
0.,1.
1.,0.
0.03064664,0.96935336
0.045,0.955
1.62136385e-04,9.99837864e-01
0.,1.
0.,1.
0.,1.
0.835,0.165
0.015,0.985
0.86,0.14
0.97,0.03
0.,1.
0.965,0.035
0.,1.
0.9,0.1
0.,1.
0.07,0.93
0.02186483,0.97813517
0.945,0.055
0.41,0.59
0.,1.
0.16,0.84
0.,1.
0.995,0.005
1.,0.
0.64018433,0.35981567
0.,1.
0.74,0.26
0.695,0.305
0.005,0.995
0.03064664,0.96935336
0.675,0.325
0.02,0.98
0.44713541,0.55286459
1.,0.
0.135,0.865
0.955,0.045
0.,1.
0.,1.
0.,1.
0.765,0.235
1.,0.
0.95,0.05
0.99,0.01
0.55,0.45
0.03064664,0.96935336
0.,1.
0.03064664,0.96935336
0.25582227,0.74417773
1.,0.
0.03064664,0.96935336
0.005,0.995
1.,0.
0.715,0.285
0.045,0.955
0.03064664,0.96935336
0.73,0.27
0.965,0.035
0.975,0.025
0.,1.
0.85,0.15
1.,0.
0.,1.
0.015,0.985
0.,1.
0.,1.
0.83,0.17
0.82,0.18
0.01515333,0.98484667
0.8,0.2
0.03064664,0.96935336
0.,1.
0.715,0.285
0.315,0.685
0.845,0.155
0.88,0.12
0.00221611,0.99778389
0.365,0.635
0.045,0.955
0.16,0.84
0.46,0.54
0.86,0.14
0.995,0.005
0.99,0.01
0.915,0.085
0.03064664,0.96935336
0.,1.
0.155,0.845
1.,0.
0.995,0.005
0.,1.
0.01,0.99
0.895,0.105
0.,1.
0.,1.
0.17248941,0.82751059
0.395,0.605
0.91,0.09
1.,0.
0.09,0.91
0.,1.
1.,0.
1.,0.
0.845,0.155
0.855,0.145
0.025,0.975
0.15,0.85
0.465,0.535
1.,0.
0.36,0.64
0.,1.
0.845,0.155
0.925,0.075
0.,1.
0.,1.
1.,0.
0.,1.
0.71321429,0.28678571
0.985,0.015
0.03064664,0.96935336
0.005,0.995
0.,1.
1.,0.
0.,1.
0.03064664,0.96935336
0.,1.
0.08,0.92
0.,1.
0.005,0.995
0.95,0.05
0.03064664,0.96935336
0.07,0.93
0.,1.
0.885,0.115
1.,0.
0.,1.
0.995,0.005
0.,1.
0.03064664,0.96935336
0.045,0.955
0.,1.
0.865,0.135
0.79,0.21
0.69,0.31
0.9,0.1
1.,0.
0.95,0.05
0.,1.
1.,0.
1.,0.
0.,1.
0.,1.
0.735,0.265
0.01,0.99
0.955,0.045
0.425,0.575
0.145,0.855
0.,1.
0.,1.
0.795,0.205
1.,0.
0.01,0.99
0.82,0.18
0.46,0.54
0.03064664,0.96935336
0.17,0.83
0.57,0.43
0.03064664,0.96935336
0.655,0.345
0.975,0.025
0.,1.
0.98,0.02
0.05,0.95
1.,0.
0.,1.
0.,1.
0.025,0.975
0.98,0.02
0.02,0.98
0.925,0.075
1.,0.
0.005,0.995
0.75,0.25
0.365,0.635
0.,1.
0.03064664,0.96935336
0.675,0.325
0.125,0.875
0.005,0.995
0.945,0.055
0.555,0.445
0.,1.
0.,1.
0.995,0.005
0.1,0.9
0.96,0.04
0.975,0.025
0.,1.
0.,1.
0.995,0.005
0.985,0.015
0.965,0.035
0.885,0.115
0.,1.
0.,1.
0.01,0.99
0.,1.
0.045,0.955
0.,1.
0.,1.
0.04,0.96
0.03064664,0.96935336
0.,1.
0.625,0.375
0.005,0.995
0.,1.
0.95,0.05
1.,0.
0.94,0.06
0.,1.
0.015,0.985
0.98,0.02
0.,1.
0.005,0.995
0.835,0.165
0.,1.
0.1,0.9
0.,1.
0.995,0.005
0.995,0.005
0.,1.
1.,0.
0.96,0.04
0.,1.
0.,1.
1.57944366e-04,9.99842056e-01
0.025,0.975
0.995,0.005
0.805,0.195
0.03064664,0.96935336
0.99,0.01
1.,0.
0.715,0.285
0.98,0.02
0.99,0.01
0.61,0.39
